team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att,team_id
dzAlgeria,22,4.0,5,44,15,34.1,11.00,3.75,0.11,0.33,0,0,1e2dba57
arArgentina,24,7.7,18,112,44,39.3,14.61,5.74,0.15,0.39,1,3,f9fddd6e
auAustralia,23,4.3,2,42,12,28.6,9.69,2.77,0.05,0.17,0,0,b90bf4f9
atAustria,20,4.0,5,32,8,25.0,8.00,2.00,0.13,0.50,1,1,d5121f10
beBelgium,23,6.3,13,112,34,30.4,17.68,5.37,0.11,0.35,1,1,361422b9
baBosnia–Herz,23,4.0,4,37,14,37.8,9.25,3.50,0.11,0.29,0,0,6c5ef1c3
brBrazil,22,5.0,10,74,30,40.5,14.80,6.00,0.12,0.30,1,2,304635c3
cvCabo Verde,21,4.3,4,49,12,24.5,11.31,2.77,0.08,0.33,0,0,31fa6fa6
caCanada,22,5.0,8,80,31,38.8,16.00,6.20,0.10,0.26,0,0,9c6d90a0
coColombia,21,5.3,5,94,30,31.9,17.62,5.63,0.05,0.17,0,0,ab73cfe5
cdCongo DR,21,4.0,5,41,9,22.0,10.25,2.25,0.10,0.44,1,1,9be9f315
ciCôte d'Ivoire,22,4.0,5,45,14,31.1,11.25,3.50,0.11,0.36,0,0,24772b12
hrCroatia,19,4.0,6,37,17,45.9,9.25,4.25,0.16,0.35,0,0,7b08e376
cwCuraçao,22,3.0,1,29,7,24.1,9.67,2.33,0.03,0.14,0,0,e0f5893a
czCzechia,21,3.0,2,34,8,23.5,11.33,2.67,0.06,0.25,0,0,2740937c
ecEcuador,21,4.0,2,53,20,37.7,13.25,5.00,0.04,0.10,0,0,123acaf8
egEgypt,21,5.3,8,67,18,26.9,12.56,3.38,0.12,0.44,0,0,b8889750
engEngland,22,7.3,14,99,42,42.4,13.50,5.73,0.12,0.29,2,2,1862c019
frFrance,22,7.0,16,120,50,41.7,17.14,7.14,0.13,0.30,1,2,b1b36dcd
deGermany,23,4.3,11,74,28,37.8,17.08,6.46,0.14,0.36,1,1,c1e40422
ghGhana,22,4.0,2,24,4,16.7,6.00,1.00,0.08,0.50,0,0,9349828d
htHaiti,18,3.0,1,31,7,22.6,10.33,2.33,0.03,0.14,0,0,61828292
irIR Iran,20,3.0,3,37,11,29.7,12.33,3.67,0.08,0.27,0,1,6a08f71e
iqIraq,25,3.0,1,21,2,9.5,7.00,0.67,0.05,0.50,0,0,ec843efd
jpJapan,24,4.0,8,34,13,38.2,8.50,3.25,0.24,0.62,0,0,ffcf1690
joJordan,20,3.0,3,24,9,37.5,8.00,3.00,0.13,0.33,0,0,3e22f0fa
krKorea Republic,20,3.0,2,32,11,34.4,10.67,3.67,0.06,0.18,0,0,473f0fbf
mxMexico,25,5.0,10,70,21,30.0,14.00,4.20,0.13,0.43,1,1,b009a548
maMorocco,23,6.3,10,69,26,37.7,10.89,4.11,0.14,0.38,0,0,af41ccda
nlNetherlands,22,4.3,10,46,22,47.8,10.62,5.08,0.22,0.45,0,0,5bb5024a
nzNew Zealand,17,3.0,4,31,15,48.4,10.33,5.00,0.13,0.27,0,0,259855f0
noNorway,25,6.3,12,66,29,43.9,10.42,4.58,0.18,0.41,0,1,599eba19
paPanama,20,3.0,0,32,7,21.9,10.67,2.33,0.00,0.00,0,0,6061a82d
pyParaguay,24,5.3,3,35,8,22.9,6.56,1.50,0.09,0.38,0,0,d2043442
ptPortugal,22,5.0,7,62,17,27.4,12.40,3.40,0.10,0.35,1,1,4a1b4ea8
qaQatar,22,3.0,2,18,7,38.9,6.00,2.33,0.11,0.29,0,0,9b696ed1
saSaudi Arabia,18,3.0,1,17,7,41.2,5.67,2.33,0.06,0.14,0,0,6e84edac
sctScotland,20,3.0,1,29,7,24.1,9.67,2.33,0.03,0.14,0,0,602d3994
snSenegal,22,4.3,10,69,23,33.3,15.92,5.31,0.14,0.43,0,0,9ab5c684
zaSouth Africa,19,4.0,2,39,11,28.2,9.75,2.75,0.03,0.09,1,1,506f1741
esSpain,20,7.0,12,120,42,35.0,17.14,6.00,0.09,0.26,1,1,b561dd30
seSweden,22,4.0,7,48,23,47.9,12.00,5.75,0.15,0.30,0,0,296f69e7
chSwitzerland,23,6.7,10,74,30,40.5,11.10,4.50,0.11,0.27,2,2,81021a70
tnTunisia,20,3.0,2,18,6,33.3,6.00,2.00,0.11,0.33,0,0,a7c7562a
trTürkiye,23,3.0,3,71,16,22.5,23.67,5.33,0.04,0.19,0,0,ac6bcf92
usUnited States,24,5.0,9,59,19,32.2,11.80,3.80,0.15,0.47,0,0,0f66725b
uyUruguay,17,3.0,3,49,13,26.5,16.33,4.33,0.06,0.23,0,0,870e020f
uzUzbekistan,23,3.0,2,18,5,27.8,6.00,1.67,0.11,0.40,0,0,cd389e75
